brand	city	state	lat	lon	address
7_eleven	Amelia	VA	37.35818	-77.96102	15418 PATRICK HENRY HWY
7_eleven	Amissville	VA	38.678433	-77.917581	18179 LEE HWY
7_eleven	Annapolis Junction	MD	39.129377	-76.793504	10930 GUILFORD RD
7_eleven	Bracketville	TX	29.30996	-100.41874	108 US 90 (Military Hwy)
7_eleven	Bricktown	NJ	40.047222	-74.115892	667 MANTOLOKING RD
7_eleven	Bricktown	NJ	40.096502	-74.140387	1151 BURNT TAVERN RD
7_eleven	Bricktown	NJ	40.061476	-74.140731	101 CHAMBERSBRIDGE RD
7_eleven	Bricktown	NJ	40.075326	-74.105866	2075 ROUTE 88
7_eleven	Cardiff By The Sea	CA	33.019194	-117.281169	2211 SAN ELIJO AVENUE
7_eleven	Chesterfield Townshi	MI	42.675355	-82.769655	33800 23 MILE RD
7_eleven	Chesterfield Townshi	MI	42.688669	-82.822912	52951 GRATIOT
7_eleven	Commerce	MI	42.591657	-83.481641	110 W COMMERCE RD
7_eleven	Commerce Twp	MI	42.533135	-83.501355	710 BENSTEIN
7_eleven	Commerce Twp	MI	42.576335	-83.440724	4100 HAGGERTY
7_eleven	Eagle Rock	CA	34.139007	-118.20898	1910 COLORADO BLVD
7_eleven	East Weymouth	MA	42.208976	-70.958777	425 WASHINGTON ST
7_eleven	East Weymouth	MA	42.215028	-70.922794	1453 COMMERCIAL ST
7_eleven	Franklin	CT	41.566587	-72.128608	# 15 ROUTE 32
7_eleven	Hudgins	VA	37.470792	-76.325974	24 CRICKET HILL RD
7_eleven	Indian Harbor Beach	FL	28.15161	-80.59949	1899 S PATRICK DR
7_eleven	Lake View Terrace	CA	34.277705	-118.378573	11331 W OSBORNE ST
7_eleven	Las Angeles	CA	34.019206	-118.181144	4269 OLYMPIC BLVD
7_eleven	Litchfield	NH	42.810706	-71.426883	274 DERRY RD
7_eleven	Little Egg Harbor	NJ	39.57612	-74.366634	800 RADIO RD
7_eleven	Marco	FL	25.920943	-81.725771	641 S. COLLIER BLVD
7_eleven	Marco	FL	25.952224	-81.724394	600 BALD EAGLE DR
