brand	city	stated_state	actual_state	lat	lon	address
7_eleven	Irvine	CA	MT/WY	44.565034	-110.714722	5333 University Dr
7_eleven	Denver	CO	ID/MT	48.976612	-115.592651	4388 KIRK CT
7_eleven	Cleveland	TN	NONE	78.206563	-80.595703	201 25th Street
ac_hotel	Boise	ID	NONE	43.615018	116.202314	1005 W Grove Street
adidas	Miami Beach	FL	CA	33.663844	-117.904743	846 Lincoln Road
amazon_locker	Livermore Falls	ME	MA/NY	42.335182	-72.669063	Cumberland Farms 5579, 53 MAIN STREET
auntie_annes	Youngstown	OH	NY	43.25468	-79.05023	100 Main St.
bowling	Los Angeles	CA	NONE	90	0	8500 Beverly Blvd
bowling	Panama City Beach	FL	NONE	90	0	12201 Hutchison Blvd
bp	South Coffeyville	KS	MO/OK	36.98543	-95.62498	111 E. County Road 2
bp	Brooklyn	NY	IA	41.697819	-92.44528	4124 18th Ave
bp	Campbellsport	OH	MI/WI	43.600898	-88.287105	259 North Ave
caesars_casino	Windsor,	CA	MI	42.320895	-83.034227	377 Riverside Drive East (Hotel, Casino and Valet Entrance: McDougall Ave. and Pitt St.)
caesars_casino	Council Bluffs	IA	NONE	41.2373	95.8901	One Arena Way
cannabis_dispensary	Warwick	RI	NH/VT	43.93291	-71.61017	444 Quaker Lane
chick_fil_a	Schererville	IN	TN	35.242488	-85.690479	315 US Highway 41
circle_k	Copperhill	GA	TN	35.030352	-84.386702	5067 HWY 64
circle_k	(empty)	GA	TN	35.015653	-85.293813	2727 ROSSVILLE BLVD
circle_k	(empty)	MS	AR/TN	35.0759	-89.9309	2678 GETWELL RD
circle_k	(empty)	MS	AR/TN	35.020541	-89.955376	3271 E SHELBY DR
circle_k	(empty)	OK	AR/TX	35.353738	-94.413689	3120 JENNY LIND
circle_k	(empty)	OK	AR/TX	35.353738	-94.413689	3120 JENNY LIND
circle_k	(empty)	OK	AR/TX	35.296425	-94.388801	4101 BROOKEN HILL DR
circle_k	(empty)	OK	AR/TX	35.296425	-94.388801	4101 BROOKEN HILL DR
circle_k	(empty)	OK	AR/TX	35.292535	-94.422556	9811 HWY 253
circle_k	(empty)	OK	AR/TX	35.292535	-94.422556	9811 HWY 253
coffee_bean	Test	AL	MA/NY	42.179363	-73.214119	test
conoco	Whitehouse	NJ	NY	41.024566	-73.772727	36-03 RTE 22 E
conoco	Albuquerque	NM	ID	43.480989	-112.0027	2124 SAN MATEO BLVD NE
conoco	Newkirk	OK	CA	33.78799	-118.02891	12901 N HIGHWAY 77
conoco	(empty)	PA	MD	39.645561	-76.656754	AV MICHOACAN Y CALLE SALINA CR 1298
conoco	Bellingham	WA	CA	33.78799	-118.02891	2570 LUMMI VIEW DR
conoco	Snohomish	WA	CA	33.78799	-118.02891	19931 FALES RD
conoco	Connell	WA	OR	45.438749	-122.709834	1 EAGLE CREST DR
crossfit	Fort Smith	OK	AR/TX	35.334087	-94.392842	3702 Century Dr
dairy_queen	Minneapolis	MN	NONE	-33.937663	18.310089	7505 Metro Blvd
dairy_queen	Houston	TX	TN	36.210363	-86.693755	TDQ Convention 2025
dominos	Pinellas Park	FL	CO	40.062424	-105.92773	7064 US Hwy 19N
dominos	Lynnwood	WA	FL	28.433073	-81.471346	1233 164th Street SW
dunkin	Hayti	MO	LA/TX	31.974302	-93.988669	1701 E Highway 84
dunkin	The Bronx	NY	NONE	36.491644	32.093285	880 Garrison Ave
dunkin	San Antonio	TX	NJ/NY	40.742151	-73.989401	150 South Ww White Road
exxon	Crystal Springs	MI	LA/MS	31.989454	-90.365929	25066 Highway 51
exxon	Robbinsville	NC	NONE	-83.814156	35.340324	1037 TAPOCA RD
firehouse_subs	(empty)	SC	NC	35.340273	-80.764928	2700 W Mallard Creek Rd
five_guys	South Portland	ME	NONE	85.051129	-180	198 Maine Mall Rd
fogo_de_chao	Irvine	AL	CA	33.652213	-117.743696	623 Spectrum Center Drive
giant_eagle	(empty)	OH	PA/WV	40.43091	-78.382923	1201 Blair Street
giant_eagle	(empty)	OH	PA/WV	40.43091	-78.382923	1201 Blair Street
godfathers_pizza	Lawrence	AL	KS/MO	39.01996	-95.13522	209 Kansas Turnpike
godfathers_pizza	Caseyville	AL	IL/MO	38.61812	-90.04311	8795 Sasak Place
godfathers_pizza	Bloomington	AL	IL	40.47312	-88.99383	102 West Oakland Avenue
godfathers_pizza	Shelbyville	AL	IN/KY	38.21667	-85.20316	20 Mt. Tabor Ct.
godfathers_pizza	Lexington	AL	KY	38.09546	-84.50902	2305 Remington Drive
good_neighbor	(empty)	OK	AR/TX	35.32724	-94.41364	
good_neighbor	Whiteford	PA	MD	39.70881	-76.34571	
hardees	Headland	AL	GA	32.8366	-84.84361	16832 Us Hwy 431 South
hardees	Trenton	TN	MI/WI	46.17275	-89.1916	2060 Us 45 Bypass South
home2_suites	Carson City	NV	NONE	39.163895	119.767836	3941 N Carson Street
huddle_house	Marion	SC	IN	40.558374	-85.659144	2424 E Highway 76
jack_in_the_box	Albuquerque	NM	CA	32.827751	-117.205406	7601 Menaul Blvd NE
jack_in_the_box	Richardson	TX	CA	34.07944	-117.8906	510 W Arapaho Rd
kohls	Yorba Linda	CA	AL/MS	33.874214	-88.343933	23001 SAVI RANCH PKWY
